연번,자치구,ID,정류소명,주소,행정동명,위도,경도
1327,북구,4477,닭뫼(소쇄원),광주광역시 북구 충효동 1006-3,북구 충효동,35.1779024993465,127.009574690571
1328,북구,4478,일곡청솔4차아파트(일곡현대3차아파트),광주광역시 북구 일곡동 933-1,북구 일곡동,35.2099398334083,126.9012478378
1329,북구,4479,일곡청솔4차아파트(월산(삼각동)),광주광역시 북구 일곡동 933-1,북구 일곡동,35.2099398334083,126.9012478378
1330,북구,4480,일곡초교(서일초교),광주광역시 북구 일곡동 933-1,북구 일곡동,35.2099398334083,126.9012478378
1331,북구,4481,일곡초교(일곡사거리),광주광역시 북구 일곡동 933-1,북구 일곡동,35.2099398334083,126.9012478378
1332,북구,4482,일동중(일동초교),광주광역시 북구 일곡동 935-1,북구 일곡동,35.2075065251371,126.894286696911
1333,북구,4483,일동중(향토음식박물관),광주광역시 북구 일곡동 932-1,북구 일곡동,35.214846913071,126.897598031919
1334,북구,4484,일동초교(일신초교),광주광역시 북구 일곡동 935-1,북구 일곡동,35.2075065251371,126.894286696911
1335,북구,4485,일동초교(일동중),광주광역시 북구 일곡동 886-4,북구 일곡동,35.2068439014545,126.894034969175
1336,북구,4486,일신초교(일곡대림2차아파트),광주광역시 북구 일곡동 935-1,북구 일곡동,35.2075065251371,126.894286696911
1337,북구,4487,일신초교(일동초교),광주광역시 북구 일곡동 935-1,북구 일곡동,35.2075065251371,126.894286696911
1338,북구,4488,향토음식박물관(일동중),광주광역시 북구 삼각동 826-1,북구 삼각동,35.2017226811541,126.894751894079
1339,북구,4489,광주기아챔피언스필드(경신여고),광주광역시 북구 임동 330,북구 임동 ,35.1684973154886,126.890620659973
1340,북구,4490,광주기아챔피언스필드(임동한국아델리움1차),광주광역시 북구 임동 322-1,북구 임동 ,35.168272763437,126.890594286956
1341,북구,4491,광주기아챔피언스필드정문(임동주공아파트),광주광역시 북구 임동 608,북구 임동 ,35.1659637053243,126.886715970939
1342,북구,4492,광주기아챔피언스필드정문(임동한국아델리움2차),광주광역시 북구 임동 614,북구 임동 ,35.1659135069149,126.886338777672
1343,북구,4493,북성중(광주일고),광주광역시 북구 임동 73-1,북구 임동 ,,
1344,북구,4494,요한병원(광호예식장),광주광역시 북구 유동 120-4,북구 유동 ,35.1609119123086,126.902862956797
1345,북구,4495,서림초교입구(북광주수협),광주광역시 북구 임동 59-5,북구 임동 ,35.1606309966643,126.900356964819
1346,북구,4496,임동농협(북성중),광주광역시 북구 임동 97-98,북구 임동 ,35.1629485925975,126.897041435578
1347,북구,4497,임동농협(임동주민센터),광주광역시 북구 임동 177,북구 임동 ,35.1624739573487,126.897597092857
1348,북구,4498,임동행정복지센터(임동농협),광주광역시 북구 임동 100-22,북구 임동 ,35.1657770971861,126.891814154785
